aeu	aeu
aubru	uql-1
aztes	aztes
chi	chi
coo	coo
ctu	ucw
deu	udel
fmu	fmu
geu	emu
gri	cmalg
gu	gu
gwla	miu
hvd	hvd
iagg	iagg
iau	uiowa
ibc	(?:bc\.|bc-loc\.)
iduke	duke\.
iloc	loc
incsu	ncsu\.
innc	nnc
innd	innd
inrlf	nrlf
inu	inu
ipst	pst\.
isrlf	srlf
iucd	ucd
iucla	ucla
iufl	(?:ufl|ufdc)
iuiuc	uiuc
iunc	unc\.
keio	keio
lebau	lebau
mdbj	mdbj
mdl	mdl\.
mdu	mdu
miu	miu
mmet	tu
mou	mou
msu	msu
mu	uma
mwica	mwica
nbb	miu
nbuu	nbuu
ncwsw	ncwsw
njp	njp
njr	njr
nnc	nnc
nnfr	nnfr
nrlf	(?:nrlf-ucsc|nrlf-ucsf|nrlf)
nwu	nwu
nyp	nyp
oks	oks
osu	osu
phc	phc
ppt	ppt
pst	pst\.
pu	pu
pur	pur
qmm	qmm
scu	scu
srlf	srlf
tu	tu
txcm	tam
txsmtsu	txsmtsu
txu	txu
ucbk	(?:ucbk|ucb|ucb-2|cul)
ucd	ucd
uci	uci
ucla	ucla
ucm	(?:ucm\.|ucm-loc\.)
ucmr	ucmr
ucr	ucr
ucsb	ucsb
ucsc	ucsc
ucsd	ucsd
ucsf	ucsf
ufdc	ufdc
uiuc	uiuc
uiucl	uiuc
ukloku	ukloku
umbus	miu
umdb	miu
umdcmp	miu
umlaw	miu
umn	umn
umprivate	miu
usu	usu\.
uuhhs	uuhhs
uva	uva\.
vircu	vircu
wau	wau
wu	wu
yale	yale
